phase_mm,front_left_extension_mm,front_right_extension_mm,rear_left_extension_mm,rear_right_extension_mm
125.171200,0.000000,0.000000,85.963636,85.963636
125.450600,0.000000,0.000000,85.963636,85.963636
125.730000,0.000000,0.000000,85.963636,85.963636
126.009400,0.000000,0.000000,85.963636,85.963636
126.288800,0.000000,0.000000,85.963636,85.963636
126.568200,0.000000,0.000000,85.963636,85.963636
126.847600,0.000000,0.000000,85.963636,85.963636
127.127000,0.000000,0.000000,85.963636,85.963636
127.406400,0.000000,0.000000,85.963636,85.963636
127.685800,0.000000,0.000000,85.963636,85.963636
127.965200,0.000000,0.000000,85.963636,85.963636
128.244600,0.000000,0.000000,85.963636,85.963636
128.524000,0.000000,0.000000,85.963636,85.963636
128.803400,0.000000,0.000000,85.963636,85.963636
129.082800,0.000000,0.000000,85.963636,85.963636
129.362200,0.000000,0.000000,85.963636,85.963636
129.641600,0.000000,0.000000,85.963636,85.963636
129.921000,0.000000,0.000000,85.963636,85.963636
130.200400,0.000000,0.000000,85.963636,85.963636
130.479800,0.000000,0.000000,85.963636,85.963636
130.759200,0.000000,0.000000,85.963636,85.963636
131.038600,0.000000,0.000000,85.963636,85.963636
131.318000,0.000000,0.000000,85.963636,85.963636
131.597400,0.000000,0.000000,85.963636,85.963636
131.876800,0.000000,0.000000,85.963636,85.963636
132.156200,0.000000,0.000000,85.963636,85.963636
132.435600,0.000000,0.000000,85.963636,85.963636
132.715000,0.000000,0.000000,85.963636,85.963636
132.994400,0.000000,0.000000,85.963636,85.963636
133.273800,0.000000,0.000000,85.963636,85.963636
133.553200,0.000000,0.000000,85.963636,85.963636
133.832600,0.000000,0.000000,85.963636,85.963636
134.112000,0.000000,0.000000,85.963636,85.963636
134.391400,0.000000,0.000000,85.963636,85.963636
134.670800,0.000000,0.000000,85.963636,85.963636
134.950200,0.000000,0.000000,85.963636,85.963636
135.229600,0.000000,0.000000,85.963636,85.963636
135.509000,0.000000,0.000000,85.963636,85.963636
135.788400,0.000000,0.000000,85.963636,85.963636
136.067800,0.000000,0.000000,85.963636,85.963636
136.347200,0.000000,0.000000,85.963636,85.963636
136.626600,0.000000,0.000000,85.963636,85.963636
136.906000,0.000000,0.000000,85.963636,85.963636
137.185400,0.000000,0.000000,85.963636,85.963636
137.464800,0.000000,0.000000,85.963636,85.963636
137.744200,0.000000,0.000000,85.963636,85.963636
138.023600,0.000000,0.000000,85.963636,85.963636
138.303000,0.000000,0.000000,85.963636,85.963636
138.582400,0.000000,0.000000,85.963636,85.963636
138.861800,0.000000,0.000000,85.963636,85.963636
139.141200,0.000000,0.000000,85.963636,85.963636
139.420600,0.000000,0.000000,85.963636,85.963636
139.700000,0.000000,0.000000,85.963636,85.963636
139.979400,0.000000,0.000000,85.963636,85.963636
140.258800,0.000000,0.000000,85.963636,85.963636
140.538200,0.000000,0.000000,85.963636,85.963636
140.817600,0.000000,0.000000,85.963636,85.963636
141.097000,0.000000,0.000000,85.963636,85.963636
141.376400,0.000000,0.000000,85.963636,85.963636
141.655800,0.000000,0.000000,85.963636,85.963636
141.935200,0.000000,0.000000,85.963636,85.963636
142.214600,0.000000,0.000000,85.963636,85.963636
142.494000,0.000000,0.000000,85.963636,85.963636
